move	conc	logconc	nomove
0	1	0	1
1	1.2	0.1823216	0
0	1.4	0.3364722	1
1	1.4	0.3364722	0
1	1.2	0.1823216	0
0	2.5	0.9162907	1
0	1.6	0.4700036	1
1	0.8	-0.2231436	0
0	1.6	0.4700036	1
1	1.4	0.3364722	0
1	0.8	-0.2231436	0
0	1.6	0.4700036	1
0	2.5	0.9162907	1
0	1.4	0.3364722	1
0	1.6	0.4700036	1
0	1.4	0.3364722	1
0	1.4	0.3364722	1
1	0.8	-0.2231436	0
0	0.8	-0.2231436	1
0	1.2	0.1823216	1
1	0.8	-0.2231436	0
1	0.8	-0.2231436	0
1	1	0	0
1	0.8	-0.2231436	0
1	1	0	0
0	1.2	0.1823216	1
1	1	0	0
0	1.2	0.1823216	1
1	1	0	0
0	1.2	0.1823216	1
